aX,aY,aZ,gX,gY,gZ
-0.046,0.394,0.949,-5.920,-3.052,2.075
-0.037,0.402,0.947,-0.122,1.343,1.343
-0.022,0.404,0.911,1.099,0.549,0.488
-0.028,0.399,0.923,-1.343,-2.014,-0.244
-0.042,0.394,0.938,0.366,-0.977,-0.061
-0.039,0.396,0.929,4.761,1.648,0.000
-0.040,0.373,0.921,4.517,1.526,-0.183
-0.051,0.363,0.918,2.075,-0.488,1.526
-0.036,0.381,0.896,0.671,0.366,2.686
-0.025,0.399,0.918,-1.587,0.488,1.221
-0.031,0.398,0.940,0.061,-0.488,0.122
-0.035,0.397,0.936,-0.366,0.000,0.305
-0.040,0.392,0.943,-0.916,2.197,0.610
-0.041,0.382,0.936,2.319,3.296,0.977
-0.032,0.382,0.901,2.197,0.854,1.282
-0.031,0.391,0.921,-2.930,-4.517,0.305
-0.059,0.374,0.954,-1.282,-3.113,0.366
-0.052,0.374,0.938,4.456,2.686,2.380
-0.022,0.390,0.913,5.188,1.526,1.831
-0.034,0.384,0.926,1.099,-3.235,0.122
-0.056,0.380,0.934,0.916,0.122,1.587
-0.038,0.389,0.911,1.526,5.981,2.747
0.572,0.640,2.114,-5.493,-69.885,-21.973
0.616,0.717,2.376,7.141,-29.724,-38.269
0.480,0.551,2.487,12.268,2.258,-46.082
0.400,0.496,2.439,-12.024,61.279,-39.307
0.365,0.571,2.445,-25.452,83.923,-34.851
0.310,0.531,2.450,-36.987,126.526,-39.856
0.129,0.327,2.240,-42.358,150.269,-42.114
0.066,0.265,2.074,-56.274,184.448,-40.344
0.024,0.299,1.753,-58.105,191.101,-38.879
0.056,0.332,1.602,-59.753,187.988,-44.983
0.044,0.280,1.539,-70.374,182.678,-52.551
-0.023,0.248,1.568,-80.200,190.247,-64.148
-0.130,0.236,1.320,-68.481,201.599,-66.406
-0.154,0.147,0.755,-44.128,213.806,-69.580
-0.140,0.100,0.539,-61.462,199.585,-73.059
-0.180,0.030,0.434,-68.420,183.533,-76.355
-0.229,-0.040,0.419,-50.598,152.649,-77.881
-0.271,-0.162,0.361,-40.466,138.062,-70.923
-0.232,-0.124,0.349,-45.349,120.483,-49.133
-0.069,0.120,0.346,-54.932,123.047,-44.434
-0.007,0.218,0.398,-73.425,139.526,-55.054
-0.000,0.239,0.551,-74.036,151.123,-64.148
-0.015,0.151,0.519,-46.326,166.077,-72.205
-0.028,0.037,0.318,-31.860,161.621,-67.139
0.003,0.069,0.195,-21.912,143.188,-49.500
0.127,0.185,0.111,-28.259,137.085,-43.213
0.151,0.178,0.133,-33.997,135.681,-40.527
0.131,0.184,-0.103,-24.719,141.357,-40.161
0.166,0.171,-0.374,-9.338,136.353,-40.833
0.306,0.200,-0.448,-12.329,81.909,-38.513
0.311,0.224,-0.271,-23.499,27.527,-39.063
0.337,0.282,-0.188,-17.700,23.193,-38.574
0.362,0.326,-0.236,-5.310,12.939,-41.687
