aX,aY,aZ,gX,gY,gZ
0.173,1.241,0.543,105.225,-174.377,106.140
0.336,1.517,0.750,65.369,-180.237,101.318
0.525,1.619,1.114,81.360,-177.551,75.317
0.487,1.356,1.121,120.361,-161.621,19.165
0.347,0.993,1.160,113.708,-154.053,10.376
0.328,0.995,1.253,82.886,-139.404,9.277
0.412,1.082,1.324,81.238,-132.507,3.784
0.475,1.132,1.247,83.557,-122.192,-19.592
0.453,1.068,1.274,75.623,-117.493,-33.813
0.374,0.952,1.260,69.946,-109.009,-46.753
0.247,0.741,1.141,69.458,-100.952,-60.852
0.233,0.683,1.155,68.481,-107.666,-63.599
0.235,0.666,1.222,55.420,-118.408,-64.636
0.226,0.703,1.383,44.128,-113.220,-65.369
0.203,0.727,1.403,30.090,-88.928,-70.923
0.202,0.690,1.374,33.447,-81.238,-75.928
0.163,0.530,1.221,43.640,-75.989,-87.280
0.157,0.475,1.249,20.081,-72.998,-92.041
0.122,0.347,1.365,9.277,-65.979,-93.018
0.115,0.316,1.350,-8.911,-47.791,-92.285
0.102,0.321,1.288,-17.212,-41.382,-91.919
0.111,0.292,1.345,-19.592,-38.574,-91.675
0.137,0.148,1.380,-9.766,-33.936,-90.637
0.158,0.094,1.273,-1.160,-23.071,-82.886
0.240,0.096,1.195,-8.545,-22.888,-78.674
0.252,0.082,1.260,-16.174,-21.545,-77.820
0.211,-0.038,1.323,-12.390,-15.381,-76.843
0.214,-0.059,1.261,-9.827,-0.122,-66.711
0.251,-0.084,1.177,-10.010,2.808,-60.669
0.261,-0.093,1.144,-9.888,5.676,-51.392
0.235,-0.099,1.156,-12.939,6.775,-49.500
0.191,-0.149,1.164,-12.085,16.541,-42.175
0.169,-0.135,1.001,-11.414,21.545,-33.875
0.193,-0.075,0.932,-14.404,18.372,-19.775
0.199,-0.020,0.920,-14.282,15.381,-15.808
0.192,0.006,0.912,-12.695,17.090,-8.423
0.194,0.114,0.892,-13.184,18.188,-5.798
0.199,0.162,0.892,-12.878,18.066,-4.578
0.221,0.235,0.852,-11.230,18.127,-5.188
0.236,0.256,0.816,-9.338,17.822,-5.798
0.237,0.246,0.810,-4.944,14.343,-5.127
0.236,0.247,0.800,-1.770,13.062,-3.418
0.248,0.283,0.817,1.099,7.996,-0.916
0.248,0.292,0.855,0.488,6.226,-1.099
0.250,0.306,0.876,0.244,8.484,-0.793
0.269,0.370,0.896,1.221,8.484,-1.160
0.266,0.368,0.904,5.615,5.615,-4.578
0.241,0.306,0.916,7.996,4.395,-5.981
0.235,0.278,0.937,8.545,3.601,-5.615
0.226,0.265,0.977,6.958,6.104,-4.761
0.211,0.250,0.971,5.737,11.841,-2.686
0.227,0.261,0.910,4.578,11.902,-0.671
0.246,0.277,0.907,2.014,9.399,0.977
0.267,0.295,0.937,-3.174,6.104,1.404
0.267,0.297,0.945,-4.578,7.141,0.244
0.262,0.290,0.944,-3.906,10.559,-1.770
0.248,0.277,0.922,-3.235,11.902,-1.099
0.257,0.293,0.885,-1.404,12.207,2.380
0.298,0.337,0.849,-2.136,10.010,2.869
0.301,0.336,0.851,-1.648,6.836,0.427
0.292,0.325,0.838,-1.404,6.531,-1.099
0.277,0.307,0.857,-2.808,5.798,-3.662
0.257,0.264,0.853,-2.075,7.080,-3.052
0.274,0.284,0.818,-1.831,6.897,0.244
0.305,0.321,0.819,-3.479,4.517,-0.061
0.295,0.299,0.852,-4.822,2.136,-2.258
0.267,0.258,0.870,-2.258,2.991,-1.709
0.272,0.266,0.856,0.366,3.174,-0.122
0.289,0.314,0.831,0.427,0.732,1.892
0.304,0.332,0.826,-1.587,0.427,1.404
0.572,0.673,1.518,-2.808,48.035,-37.048
0.583,0.701,1.510,9.583,64.026,-52.612
0.569,0.588,1.421,12.512,72.510,-60.974
0.550,0.494,1.384,13.733,83.862,-70.679
0.539,0.383,1.224,14.343,87.830,-72.815
0.542,0.375,1.157,13.062,90.088,-77.454
0.534,0.389,1.094,13.855,90.881,-80.200
0.517,0.371,1.040,15.381,99.365,-87.097
0.504,0.305,0.824,10.315,106.323,-90.393
0.544,0.316,0.707,-3.662,115.173,-100.342
0.672,0.346,0.485,-7.568,112.549,-105.041
0.693,0.316,0.456,-19.348,103.088,-113.098
0.661,0.187,0.379,-26.794,103.333,-115.234
0.645,0.127,0.306,-31.006,92.651,-111.389
0.703,0.060,0.187,-28.687,77.271,-105.347
0.733,0.002,0.213,-26.123,37.781,-93.994
0.769,-0.129,0.466,-22.766,19.165,-90.027
0.817,-0.143,0.662,-12.939,-4.028,-89.355
0.848,-0.352,0.957,-6.775,-1.526,-94.482
0.834,-0.496,1.115,-4.883,14.648,-93.445
0.680,-0.714,1.560,-0.122,27.466,-86.304
0.527,-0.820,1.711,27.039,66.284,-59.570
0.336,-0.974,1.773,41.382,82.703,-42.114
0.281,-0.982,1.704,58.167,109.680,-15.076
-0.002,-1.011,1.380,63.416,122.681,-6.287
-0.152,-1.065,1.260,70.435,131.409,21.729
-0.405,-1.176,1.082,82.947,133.301,44.434
-0.494,-1.153,0.877,116.638,136.169,104.919
-0.608,-0.975,0.468,120.178,133.911,140.320
-0.647,-0.824,0.333,100.403,132.324,207.458
-0.700,-0.448,-0.038,88.318,132.385,233.643
-0.679,-0.239,-0.232,49.194,122.986,271.667
-0.537,0.285,-0.479,23.193,119.385,285.400
-0.429,0.627,-0.564,-6.165,106.689,289.307
-0.310,1.055,-0.723,4.944,85.999,269.592
-0.328,1.014,-0.901,54.504,26.550,217.957
-0.409,0.741,-1.113,72.205,-15.442,204.163
-0.450,0.621,-0.949,98.022,-101.685,201.355
-0.392,0.776,-0.724,99.182,-125.488,206.055
-0.297,1.068,-0.595,59.998,-150.208,208.496
-0.057,1.696,-0.084,49.866,-158.142,196.533
-0.002,1.845,0.230,84.473,-168.701,146.545
-0.033,1.795,0.266,104.309,-174.194,94.116
-0.018,1.620,0.588,97.839,-179.993,76.721
0.045,1.609,0.860,93.201,-182.861,64.331
0.223,1.748,1.214,99.365,-168.823,40.588
0.293,1.785,1.178,91.125,-135.071,6.470
0.446,1.715,1.102,77.148,-128.479,-12.085
0.486,1.568,1.248,76.782,-130.981,-52.979
0.415,1.225,1.244,91.980,-125.488,-70.862
0.339,1.085,1.186,99.182,-125.488,-91.003
0.279,0.860,1.320,92.712,-126.038,-93.079
0.312,0.788,1.312,79.895,-113.525,-94.543
0.318,0.624,1.199,69.824,-109.985,-96.558
0.297,0.569,1.258,44.006,-109.070,-97.168
0.280,0.522,1.365,41.321,-104.675,-96.252
0.296,0.496,1.398,42.908,-101.807,-95.642
0.301,0.405,1.555,37.476,-98.450,-96.069
0.288,0.390,1.591,30.090,-89.478,-96.497
0.259,0.367,1.564,12.634,-66.162,-101.318
0.227,0.290,1.633,1.770,-59.998,-102.234
0.250,0.254,1.707,-2.258,-44.128,-100.525
0.324,0.162,1.598,2.808,-32.227,-100.769
0.301,0.008,1.514,0.732,-16.968,-102.112
0.268,-0.066,1.525,-11.414,-6.409,-95.764
0.182,-0.227,1.538,-10.132,-1.953,-90.149
0.163,-0.294,1.486,2.869,9.399,-74.219
0.208,-0.310,1.266,3.967,15.320,-63.477
0.227,-0.285,1.200,0.854,18.860,-53.589
0.227,-0.230,1.053,0.916,23.254,-42.542
0.238,-0.238,0.932,3.662,25.757,-41.016
0.253,-0.262,0.842,-7.874,26.794,-36.438
0.245,-0.264,0.779,-17.517,27.527,-30.701
0.224,-0.243,0.745,-21.362,27.588,-17.639
0.194,-0.198,0.673,-16.541,23.682,-11.658
0.207,-0.155,0.671,-10.010,10.925,-0.183
0.260,0.006,0.701,-11.963,7.690,4.333
0.297,0.094,0.723,-16.724,5.066,7.141
0.301,0.139,0.789,-13.977,3.906,4.517
0.288,0.120,0.792,-5.066,3.357,1.953
0.301,0.166,0.835,-6.165,2.808,3.418
0.308,0.204,0.845,-7.202,3.723,4.639
0.323,0.243,0.849,-4.150,1.343,4.578
0.334,0.270,0.885,4.211,-5.920,3.357
0.345,0.303,0.920,7.141,-5.493,1.099
0.332,0.279,0.948,6.958,-3.723,-1.343
0.312,0.255,0.957,3.906,2.686,-2.625
0.292,0.233,0.916,3.723,4.028,-1.953
0.288,0.233,0.903,6.714,2.563,-0.122
0.303,0.251,0.854,8.240,1.160,0.610
0.308,0.251,0.855,9.949,-3.113,0.061
0.300,0.210,0.860,8.362,-3.174,-0.427
0.288,0.195,0.877,0.366,-0.916,0.549
0.290,0.218,0.870,-1.099,0.122,1.343
0.301,0.239,0.874,-1.831,-2.014,0.793
0.305,0.240,0.900,-3.296,-2.319,0.305
0.303,0.244,0.901,-4.395,-1.648,0.610
0.315,0.264,0.901,-1.221,-2.625,1.160
0.323,0.264,0.937,0.427,-4.883,0.366
0.326,0.270,0.968,-0.732,-3.113,-1.831
0.332,0.290,0.991,-3.174,-0.793,-2.991
0.337,0.290,1.039,-7.874,-1.038,-3.479
0.349,0.299,1.164,-6.653,0.061,-3.235
0.348,0.299,1.177,2.808,7.507,-4.333
0.349,0.301,1.098,5.127,11.108,-4.944
0.365,0.299,1.090,-2.014,11.963,-5.249
0.386,0.301,1.145,-3.967,13.184,-5.615
0.385,0.300,1.133,-2.075,18.188,-7.080
0.382,0.306,1.128,-2.563,19.287,-7.324
0.385,0.312,1.125,-3.784,24.475,-8.667
0.382,0.284,1.038,-2.014,27.161,-10.132
0.375,0.256,1.000,-1.892,27.344,-11.353
0.357,0.213,0.961,-3.357,27.710,-10.681
0.352,0.209,0.937,-6.592,28.809,-8.057
0.357,0.217,0.912,-8.362,28.870,-7.202
0.362,0.217,0.916,-10.071,29.114,-6.226
0.364,0.239,0.898,-9.949,29.968,-6.042
0.365,0.243,0.882,-12.268,29.968,-6.897
0.364,0.224,0.903,-13.306,29.480,-7.141
0.777,-0.505,1.433,-4.150,43.884,-57.495
0.733,-0.530,1.489,-32.288,66.467,-45.471
0.605,-0.535,1.622,-45.044,82.458,-40.710
0.516,-0.552,1.585,-57.068,129.883,-31.250
0.355,-0.588,1.351,-58.777,150.513,-25.146
0.224,-0.647,1.251,-37.354,170.959,-8.545
0.010,-0.746,0.854,-7.141,170.410,5.554
-0.049,-0.733,0.605,50.171,141.174,44.922
-0.095,-0.582,0.527,67.627,118.225,66.956
-0.111,-0.473,0.548,102.966,96.802,104.065
-0.225,-0.259,0.121,111.694,100.281,118.347
-0.200,-0.096,-0.216,67.871,101.807,144.531
-0.173,0.014,-0.168,50.354,86.914,149.597
-0.235,-0.071,-0.169,83.191,71.350,160.767
-0.297,0.026,-0.559,92.590,64.331,174.133
-0.325,0.166,-0.650,80.322,25.146,195.740
-0.325,0.458,-0.588,77.942,-2.014,200.500
-0.259,0.580,-0.463,83.557,-45.593,203.308
-0.131,0.892,-0.371,83.679,-53.223,204.407
-0.077,1.102,-0.342,78.674,-58.472,202.759
0.010,1.294,-0.064,72.449,-84.534,181.091
0.030,1.265,0.108,76.050,-97.778,166.626
0.048,1.247,0.240,82.092,-105.164,149.353
0.098,1.369,0.397,83.618,-105.652,145.935
0.141,1.445,0.445,84.167,-106.873,132.690
0.207,1.461,0.548,77.087,-106.079,121.704
0.228,1.514,0.633,59.326,-104.675,99.304
0.299,1.577,0.910,61.707,-106.201,83.374
0.320,1.491,0.992,77.454,-102.539,45.959
0.307,1.318,1.092,76.965,-101.257,33.508
0.294,1.326,1.149,69.153,-99.121,15.442
0.289,1.374,1.249,68.970,-98.022,3.052
0.314,1.331,1.280,73.730,-95.703,-12.146
0.315,0.910,1.184,90.942,-84.534,-46.875
0.243,0.660,1.141,88.379,-78.796,-57.617
