aX,aY,aZ,gX,gY,gZ
-0.109,0.929,1.003,-88.196,105.713,-196.411
0.021,0.356,0.636,-82.764,90.454,-194.092
0.042,0.172,0.697,-84.412,71.594,-168.152
0.013,-0.007,0.532,-86.731,82.031,-154.175
0.012,-0.110,0.278,-74.768,98.267,-138.123
0.015,-0.265,-0.230,-53.589,88.684,-130.859
0.016,-0.342,-0.381,-10.803,46.509,-115.967
0.004,-0.506,-0.502,6.836,24.414,-105.530
-0.011,-0.476,-0.415,34.302,-23.987,-70.801
-0.030,-0.235,-0.074,41.077,-37.659,-52.551
-0.036,-0.171,-0.061,45.532,-21.545,-30.090
-0.115,-0.087,-0.125,44.495,-15.198,-23.315
-0.143,-0.007,-0.108,59.753,-18.372,-14.832
-0.050,0.167,-0.126,68.542,-20.447,-16.541
0.020,0.202,-0.173,35.461,-27.039,-36.621
0.145,0.206,-0.245,21.851,-33.020,-41.992
0.165,0.337,-0.308,52.795,-37.903,-25.208
0.085,0.658,-0.519,78.247,-43.213,-22.766
0.007,0.714,-0.413,49.561,-93.750,-43.213
-0.120,0.558,0.131,29.358,-113.281,-56.519
-0.162,0.438,0.198,79.956,-98.389,-71.228
-0.199,0.230,-0.055,106.750,-94.177,-75.256
-0.165,0.109,-0.097,71.411,-129.517,-84.167
-0.014,-0.282,-0.062,51.208,-150.574,-84.839
0.054,-0.425,0.002,52.734,-186.523,-55.298
-0.053,-0.170,0.361,70.435,-202.393,-33.264
-0.125,0.019,0.596,114.197,-216.064,-28.442
-0.075,-0.112,0.766,122.986,-212.769,-40.283
-0.022,-0.240,0.819,101.196,-220.520,-37.598
0.077,-0.236,1.495,77.148,-233.887,-29.785
0.120,-0.257,2.017,68.115,-224.121,-20.142
0.112,0.027,2.661,87.402,-193.542,-10.498
0.084,0.197,2.797,100.159,-131.714,-12.573
0.037,0.429,3.168,87.463,-112.366,-20.813
0.050,0.537,3.463,72.998,-94.971,-30.579
0.139,0.370,3.408,66.833,-20.996,-60.059
0.192,0.144,3.027,75.928,23.132,-71.350
0.250,-0.143,2.735,72.571,52.673,-69.946
0.264,-0.211,2.718,49.316,75.317,-56.763
0.303,-0.278,2.149,39.551,95.459,-49.744
0.333,-0.299,1.868,25.818,103.699,-43.030
0.372,-0.278,1.470,-6.226,97.778,-28.381
0.381,-0.274,1.276,-15.320,94.727,-21.667
0.380,-0.338,1.156,-23.437,80.872,-10.742
0.369,-0.372,1.147,-29.663,76.782,-5.493
0.365,-0.367,0.911,-36.255,81.726,4.944
0.382,-0.379,0.833,-43.457,72.388,9.399
0.450,-0.584,0.831,-48.950,67.505,9.583
0.497,-0.805,0.775,-35.767,71.045,15.808
0.569,-1.305,0.573,-27.893,72.510,26.245
0.562,-1.588,0.468,-26.428,71.350,40.222
0.484,-1.966,0.250,-27.039,60.852,85.815
0.402,-1.908,0.290,-30.701,48.096,119.568
